module,time_s,peak_kb,ir_lines,status,seed_version
native_ir_api,1.12,220712,3260,ok,0.8.4
native_ir_parser,1.39,309404,4448,ok,0.8.4
native_ir_parser_defs,1.94,396732,6288,ok,0.8.4
native_ir_parser_instructions,1.05,220400,3312,ok,0.8.4
native_ir_utils_layout,1.80,392652,7892,ok,0.8.4
native_ir_utils_parse,1.94,441336,7788,ok,0.8.4
native_ir_utils_text,0.81,155932,3115,ok,0.8.4
num_format,0.29,157688,354,ok,0.8.4
ownership_checker,2.97,713904,12077,ok,0.8.4
prelude_globals,0.45,169592,1195,ok,0.8.4
prelude_scan,0.50,170488,1384,ok,0.8.4
reexport_check,0.65,172152,2158,ok,0.8.4
release_trust,0.26,174200,204,ok,0.8.4
runtime_capsule_resolver,0.62,174328,1970,ok,0.8.4
semver,0.46,175736,1461,ok,0.8.4
string_cmd_utils,0.39,176632,750,ok,0.8.4
string_utils,0.45,177144,1380,ok,0.8.4
symbols_index,0.81,177912,2743,ok,0.8.4
tensor_ir,0.60,180216,2297,ok,0.8.4
tensor_ir_emit_stablehlo,0.68,182136,2336,ok,0.8.4
tensor_ir_fusion,0.31,184056,318,ok,0.8.4
tensor_ir_link_harness,1.71,356856,3544,ok,0.8.4
tensor_ir_lower_scalar,1.73,379388,4676,ok,0.8.4
tensor_ir_verify,0.82,193144,2938,ok,0.8.4
test_results,0.44,195576,964,ok,0.8.4
test_runner_json,0.69,196216,2196,ok,0.8.4
test_runner_state,0.47,198008,1316,ok,0.8.4
token,0.27,199160,239,ok,0.8.4
toml_parser,1.53,340844,6268,ok,0.8.4
type_id,0.32,203896,450,ok,0.8.4
type_interner,2.02,482284,7720,ok,0.8.4
typecheck_captures,2.72,676408,11734,ok,0.8.4
typecheck_import_loader,0.75,222072,2101,ok,0.8.4
typecheck_imports,0.49,224120,1035,ok,0.8.4
typed_ssa,1.34,290912,5255,ok,0.8.4
typed_ssa_produce,0.79,229368,2245,ok,0.8.4
typed_ssa_render,1.28,293832,5144,ok,0.8.4
typed_ssa_verify,2.70,645628,10294,ok,0.8.4
version,0.47,244344,1093,ok,0.8.4
build__cache,1.31,249084,2805,ok,0.8.4
build__clang_argv,0.89,249080,2830,ok,0.8.4
build__determinism,1.20,252920,2882,ok,0.8.4
build__direct_link,0.65,256760,2186,ok,0.8.4
build__fs,0.63,258424,2036,ok,0.8.4
build__hash,0.49,259576,1457,ok,0.8.4
build__link,1.17,260600,3007,ok,0.8.4
build__paths,0.38,264568,842,ok,0.8.4
build__runtime_objs,3.12,697416,9672,ok,0.8.4
build__target,0.44,274168,1081,ok,0.8.4
capsule_resolver__capability,1.50,309032,3959,ok,0.8.4
capsule_resolver__compile,1.81,367732,4685,ok,0.8.4
capsule_resolver__dedupe,1.60,327932,4076,ok,0.8.4
capsule_resolver__discovery,1.52,293688,4652,ok,0.8.4
capsule_resolver__implicit,1.47,294520,3517,ok,0.8.4
capsule_resolver__mod,2.59,489852,4265,ok,0.8.4
capsule_resolver__paths,0.64,304632,1988,ok,0.8.4
capsule_resolver__relative,1.39,306040,3317,ok,0.8.4
capsule_resolver__staging,2.55,477048,4719,ok,0.8.4
capsule_resolver__toolchain,0.66,315768,1809,ok,0.8.4
capsule_resolver__types,0.40,317304,427,ok,0.8.4
